Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Sample_Clone2N_17_S1_R1_001-paired	Sample_Clone2N_17_S1_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	69161719.0	0.0	26-141	57.0	4.221926193061287	130.2843021874572	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Clone2N_17_S1_R2_001-paired	Sample_Clone2N_17_S1_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	69161719.0	0.0	26-141	57.0	6.526722034449428	129.10286979709107	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Clone2o_20_S6_R1_001-paired	Sample_Clone2o_20_S6_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11959763.0	0.0	26-141	55.0	20.921708812963093	129.0425952420629	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
Sample_Clone2o_20_S6_R2_001-paired	Sample_Clone2o_20_S6_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11959763.0	0.0	26-141	55.0	23.82612422071463	127.39653887790251	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Clone3N_18_S4_R1_001-paired	Sample_Clone3N_18_S4_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42989660.0	0.0	26-141	56.0	14.280060947198523	124.09356822082333	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
Sample_Clone3N_18_S4_R2_001-paired	Sample_Clone3N_18_S4_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42989660.0	0.0	26-141	56.0	16.483234755010713	123.33158380410545	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Clone3o_21_S9_R1_001-paired	Sample_Clone3o_21_S9_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26328827.0	0.0	26-141	56.0	10.592582746972704	127.03400033734887	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
Sample_Clone3o_21_S9_R2_001-paired	Sample_Clone3o_21_S9_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26328827.0	0.0	26-141	57.0	12.779256088953053	126.4966771972029	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Scr1N_22_S8_R1_001-paired	Sample_Scr1N_22_S8_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44153614.0	0.0	26-141	54.0	20.09028762606002	127.85348383939761	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Scr1N_22_S8_R2_001-paired	Sample_Scr1N_22_S8_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44153614.0	0.0	26-141	54.0	22.525969364412006	127.03654849181768	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Scr1o_25_S9_R1_001-paired	Sample_Scr1o_25_S9_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48000823.0	0.0	26-141	53.0	5.277536837908215	132.52674892678402	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
Sample_Scr1o_25_S9_R2_001-paired	Sample_Scr1o_25_S9_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48000823.0	0.0	26-141	54.0	7.258454073490752	131.281775981216	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Scr2N_23_S4_R1_001-paired	Sample_Scr2N_23_S4_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52635168.0	0.0	26-141	57.0	8.245558815282617	127.34351954571514	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Scr2N_23_S4_R2_001-paired	Sample_Scr2N_23_S4_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52635168.0	0.0	26-141	57.0	10.489701110980484	126.49532413385667	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Scr2o_26_S8_R1_001-paired	Sample_Scr2o_26_S8_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49678746.0	0.0	26-141	56.0	13.390420687312579	127.18953783575778	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Scr2o_26_S8_R2_001-paired	Sample_Scr2o_26_S8_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49678746.0	0.0	26-141	56.0	15.83422408602784	126.31425523502546	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Scr3N_24_S7_R1_001-paired	Sample_Scr3N_24_S7_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53050567.0	0.0	26-141	56.0	9.698717930477708	127.4194324256704	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Scr3N_24_S7_R2_001-paired	Sample_Scr3N_24_S7_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53050567.0	0.0	26-141	56.0	11.755327004782314	126.77758256570566	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Scr3o_27_S1_R1_001-paired	Sample_Scr3o_27_S1_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68393743.0	0.0	26-141	57.0	6.927890220169484	120.42403085030746	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Scr3o_27_S1_R2_001-paired	Sample_Scr3o_27_S1_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68393743.0	0.0	26-141	57.0	9.04119813687878	119.86665974693035	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_liver2_1_S1_R1_001-paired	Sample_liver2_1_S1_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45037303.0	0.0	26-141	54.0	16.987803500605015	127.77892850289015	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_liver2_1_S1_R2_001-paired	Sample_liver2_1_S1_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45037303.0	0.0	26-141	54.0	19.411298572922334	127.05338985329561	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_liver4_2_S2_R1_001-paired	Sample_liver4_2_S2_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87073897.0	0.0	26-141	54.0	19.441766781186764	127.26733847688016	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
Sample_liver4_2_S2_R2_001-paired	Sample_liver4_2_S2_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87073897.0	0.0	26-141	54.0	23.090534187653656	124.60497154503146	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_liver5_3_S5_R1_001-paired	Sample_liver5_3_S5_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	84114465.0	0.0	26-141	55.0	13.353720726235716	127.1993180958828	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
Sample_liver5_3_S5_R2_001-paired	Sample_liver5_3_S5_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	84114465.0	0.0	26-141	55.0	16.069542193933657	125.76450366771043	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
Sample_liver6_4_S2_R1_001-paired	Sample_liver6_4_S2_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57720097.0	0.0	26-141	54.0	12.189689636728216	128.64225611055366	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_liver6_4_S2_R2_001-paired	Sample_liver6_4_S2_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57720097.0	0.0	26-141	55.0	14.346895107314165	127.58812607331551	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_liver9_5_S5_R1_001-paired	Sample_liver9_5_S5_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	84363395.0	0.0	26-141	55.0	13.107510092220807	127.30213443875748	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_liver9_5_S5_R2_001-paired	Sample_liver9_5_S5_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	84363395.0	0.0	26-141	55.0	15.646635002198108	126.3248524908226	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
